Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00016	1	53265	53295	53275	932.78	0.0464220029957	31
CNAG_00034	1	101064	101068	101064	929.88	1.0827776511	5
CNAG_00052	1	154275	154291	154281	1016.72	-0.353151830597	17
CNAG_00061	1	169286	169293	169286	11577.3	0.759736024206	8
CNAG_00065	1	177327	177370	177340	1064.59	-1.73467929598	44
CNAG_00091	1	253413	253435	253419	3977.16	-0.802881489393	23
CNAG_00116	1	315011	315018	315011	1487.22	1.13265680218	8
CNAG_00135	1	367887	367912	367894	583.79	-0.802409347084	26
CNAG_00187	1	506995	507035	507002	745.35	-0.789382400658	41
CNAG_00190	1	512227	512227	512227	548.43	2.0	1
CNAG_00254	1	665535	665606	665558	543.82	-1.37249247756	72
CNAG_00261	1	686812	686832	686813	2719.54	-0.795802679301	21
CNAG_00294	1	757262	757284	757269	759.59	-0.231019601987	23
CNAG_00315	1	809464	809499	809491	1781.37	-1.15886146891	36
CNAG_00355	1	904525	904558	904525	1609.98	-1.38866636482	34
CNAG_00409	1	1076543	1076618	1076601	2175.38	-2.08291618409	76
CNAG_00453	1	1174883	1174899	1174883	4226.47	-0.151776473572	17
CNAG_00453_left	1	1174840	1174841	1174840	1202.24	1.37220678371	2
CNAG_00483	1	1242491	1242516	1242497	706.45	-1.25714632243	26
CNAG_00510	1	1302026	1302053	1302036	642.34	-1.04622580277	28
CNAG_00584	1	1504845	1504882	1504845	476.42	-0.947798319733	38
CNAG_00584_left	1	1504816	1504825	1504816	234.41	0.620325276585	10
CNAG_00605	1	1554135	1554144	1554135	2061.75	-0.412444092616	10
CNAG_00626	1	1607358	1607377	1607358	1757.29	0.823875281949	20
CNAG_00637	1	1650113	1650122	1650117	2942.4	-0.0293837589061	10
CNAG_00640	1	1656563	1656579	1656572	2652.81	-0.0200932367525	17
CNAG_00656	1	1707314	1707343	1707335	744.98	-0.859899893119	30
CNAG_00672	1	1746894	1746895	1746894	2508.24	1.37657845258	2
CNAG_00679	1	1764667	1764679	1764672	944.03	0.572039386834	13
CNAG_00694	1	1806897	1806943	1806916	1966.71	-1.33083199062	47
CNAG_00716	1	1866733	1866767	1866754	940.69	-1.48653607252	35
CNAG_00779	1	2052018	2052021	2052018	1947.44	0.885248625252	4
CNAG_00785	1	2063483	2063500	2063492	2513.29	-0.160909796716	18
CNAG_00787	1	2066738	2066775	2066738	485.07	-1.02299346698	38
CNAG_00806	1	2131665	2131685	2131667	1701.02	-0.450179555813	21
CNAG_00809	1	2139495	2139509	2139508	519.45	0.0637336271293	15
CNAG_00834	1	2212825	2212848	2212831	3106.71	-1.08206212857	24
CNAG_00929	5	1604283	1604314	1604286	472.86	-0.452586182096	32
CNAG_00984	5	1505654	1505679	1505654	6012.62	-0.747810447607	26
CNAG_00994	5	1486029	1486043	1486043	1063.68	0.821143950718	15
CNAG_00995	5	1483207	1483226	1483210	1463.34	-0.732557386804	20
CNAG_01019	5	1416590	1416677	1416590	540.48	-1.76308814899	88
CNAG_01031	5	1393055	1393061	1393056	1501.71	0.254113152365	7
CNAG_01047	5	1352704	1352728	1352706	1108.06	-0.910810365519	25
CNAG_01055	5	1325835	1325837	1325837	662.14	1.00165369067	3
