Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00057	1	163195	163202	163202	3004.2	0.125082440608	8
CNAG_00058	1	166164	166216	166185	469.62	-2.01424178783	53
CNAG_00060	1	169030	169051	169041	1589.64	0.0375686893723	22
CNAG_00064	1	177141	177157	177154	410.14	-0.279074202878	17
CNAG_00075	1	209261	209335	209277	981.46	-2.50144490265	75
CNAG_00093	1	259707	259740	259711	2338.54	-1.2251891722	34
CNAG_00115	1	313811	313818	313817	4687.64	0.460442951433	8
CNAG_00139	1	377989	377994	377993	5809.38	0.472893160809	6
CNAG_00152	1	420090	420109	420094	839.24	-0.16382547339	20
CNAG_00162	1	441365	441376	441371	3047.16	-0.599711438262	12
CNAG_00176	1	478583	478656	478629	421.36	-2.48071109331	74
CNAG_00232	1	612522	612530	612530	6443.26	0.365228221556	9
CNAG_00264	1	693577	693624	693607	456.24	-1.12885870325	48
CNAG_00266	1	696235	696287	696258	891.1	-1.91176525354	53
CNAG_00307	1	790163	790186	790172	1266.22	-0.526401156307	24
CNAG_00317	1	815988	816022	816014	864.42	-1.79637310947	35
CNAG_00329	1	842997	843025	843017	485.74	-1.52304799874	29
CNAG_00354	1	904379	904391	904390	453.94	-0.269447567293	13
CNAG_00360	1	916144	916162	916161	583.6	0.460218461422	19
CNAG_00362	1	920981	921026	921002	438.9	-2.14949532006	46
CNAG_00370	1	943184	943210	943191	2959.24	-1.10738947733	27
CNAG_00410	1	1081161	1081203	1081163	443.02	-1.22360240702	43
CNAG_00417	1	1096312	1096318	1096317	954.62	0.286781577546	7
CNAG_00417_left	1	1096312	1096318	1096317	954.62	0.286781577546	7
CNAG_00417_right	1	1096340	1096345	1096345	598.84	0.0728284929095	6
CNAG_00418	1	1098618	1098661	1098660	510.52	-1.62763773305	44
CNAG_00436	1	1137013	1137048	1137035	1546.86	-1.01837631846	36
CNAG_00441	1	1147545	1147575	1147558	654.54	-1.10086348663	31
CNAG_00471	1	1216822	1216878	1216839	357.66	-1.44178226908	57
CNAG_00473	1	1219592	1219615	1219595	528.38	-1.01270586373	24
CNAG_00482	1	1242326	1242336	1242332	547.66	-0.529653193726	11
CNAG_00485	1	1248887	1248897	1248893	1223.72	-0.18304520696	11
CNAG_00536	1	1367568	1367597	1367580	434.36	-1.23830455332	30
CNAG_00539	1	1374441	1374452	1374449	716.56	-0.135414327517	12
CNAG_00551	1	1421032	1421063	1421041	352.32	0.037930117857	32
CNAG_00554	1	1431640	1431640	1431640	858.74	2.0	1
CNAG_00554_left	1	1431640	1431640	1431640	858.74	2.0	1
CNAG_00554_right	1	1431691	1431728	1431691	464.02	-0.704188924763	38
CNAG_00555	1	1433680	1433686	1433686	699.98	0.895828655517	7
CNAG_00560	1	1447268	1447289	1447287	844.62	-0.77965174647	22
CNAG_00582	1	1499676	1499740	1499722	4278.2	-2.52448530423	65
CNAG_00602	1	1550130	1550164	1550141	656.26	-1.46869193791	35
CNAG_00668	1	1739501	1739544	1739536	589.46	-0.881681377188	44
CNAG_00680	1	1767552	1767572	1767564	380.14	-0.878356184557	21
CNAG_00686	1	1787750	1787755	1787752	3163.3	0.71037479141	6
CNAG_00703	1	1840768	1840780	1840780	7107.26	0.46048612616	13
CNAG_00712	1	1862099	1862107	1862100	381.94	0.92764539608	9
CNAG_00715	1	1866478	1866503	1866492	429.26	-1.4255156962	26
CNAG_00727	1	1895017	1895042	1895031	502.36	-0.609943256323	26
CNAG_00735	1	1921915	1921964	1921938	520.18	-1.53917674553	50
