Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00057	1	163195	163202	163202	16145.37	0.318248196899	8
CNAG_00060	1	169023	169048	169041	843.79	0.0770775216395	26
CNAG_00075	1	209261	209305	209277	3045.69	-1.59519602026	45
CNAG_00115	1	313811	313818	313817	2259.09	0.499453916727	8
CNAG_00140	1	380777	380799	380785	2128.89	-0.8940846098	23
CNAG_00152	1	420090	420109	420094	877.22	0.00680054851952	20
CNAG_00162	1	441363	441376	441371	2415.86	-0.862936937062	14
CNAG_00176	1	478583	478656	478629	465.7	-1.12032607126	74
CNAG_00232	1	612522	612539	612530	6030.91	-0.154985619865	18
CNAG_00264	1	693577	693618	693609	674.04	-0.843954043049	42
CNAG_00307	1	790163	790186	790172	1458.11	-0.761319052297	24
CNAG_00317	1	815961	816022	816006	862.44	-1.82233709041	62
CNAG_00329	1	842997	843025	843017	483.23	-1.54483406593	29
CNAG_00345	1	885196	885209	885209	761.04	0.148999982891	14
CNAG_00360	1	916144	916162	916161	477.03	0.260030035622	19
CNAG_00362	1	920987	921026	921002	603.71	-1.76145046259	40
CNAG_00370	1	943174	943210	943191	3042.1	-1.23320945354	37
CNAG_00410	1	1081161	1081203	1081186	595.41	-0.792132384313	43
CNAG_00417	1	1096312	1096317	1096317	1026.58	0.614871417244	6
CNAG_00417_left	1	1096312	1096317	1096317	1026.58	0.614871417244	6
CNAG_00417_right	1	1096340	1096345	1096345	629.25	0.174493113467	6
CNAG_00436	1	1137011	1137048	1137035	935.33	-0.996619828129	38
CNAG_00441	1	1147544	1147564	1147558	1157.49	-0.915390366145	21
CNAG_00485	1	1248881	1248897	1248893	1949.65	-0.686665498939	17
CNAG_00536	1	1367568	1367597	1367580	1151.94	-1.11910047209	30
CNAG_00554	1	1431640	1431640	1431640	851.27	2.0	1
CNAG_00554_left	1	1431640	1431640	1431640	851.27	2.0	1
CNAG_00554_right	1	1431676	1431728	1431691	260.78	-0.705239320934	53
CNAG_00555	1	1433680	1433730	1433686	692.18	-0.432096655454	51
