Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00057	1	163199	163202	163202	2111.82	1.01260140018	4
CNAG_00060	1	169030	169051	169041	370.32	0.301875649345	22
CNAG_00075	1	209261	209335	209277	181.62	-2.01083810048	75
CNAG_00093	1	259704	259740	259711	717.17	-1.09657347045	37
CNAG_00115	1	313811	313824	313817	396.11	0.363817226098	14
CNAG_00140	1	380783	380799	380785	517.51	-0.622190756563	17
CNAG_00152	1	420090	420109	420092	192.3	0.0945819506772	20
CNAG_00162	1	441363	441376	441371	905.28	-0.950978611327	14
CNAG_00232	1	612522	612542	612530	866.02	-0.204608744485	21
CNAG_00264	1	693577	693618	693609	329.9	-0.676635113209	42
CNAG_00266	1	696235	696279	696258	237.46	-1.48430846841	45
CNAG_00307	1	790163	790186	790172	208.13	-0.558941172246	24
CNAG_00317	1	815966	816025	816006	223.35	-1.86309950055	60
CNAG_00345	1	885196	885210	885209	166.9	0.352616672297	15
CNAG_00360	1	916144	916162	916161	142.23	0.258746001756	19
CNAG_00362	1	920987	921026	921002	143.0	-1.41231445243	40
CNAG_00370	1	943182	943210	943191	285.02	-1.16298196974	29
CNAG_00417	1	1096340	1096346	1096345	176.65	0.110847018578	7
CNAG_00417_left	1	1096313	1096317	1096317	137.14	0.666823915607	5
CNAG_00436	1	1137011	1137048	1137035	428.11	-1.07065543482	38
CNAG_00441	1	1147545	1147564	1147558	140.96	0.15396136265	20
CNAG_00473	1	1219592	1219611	1219595	131.56	-0.654348337292	20
CNAG_00485	1	1248881	1248897	1248897	318.54	-0.564379390587	17
CNAG_00536	1	1367568	1367597	1367587	191.14	-0.919196399048	30
CNAG_00539	1	1374441	1374452	1374449	527.4	-0.676683092783	12
CNAG_00550	1	1417924	1417940	1417940	156.18	1.18582558307	17
CNAG_00551	1	1421034	1421041	1421041	123.75	1.14768870737	8
CNAG_00554	1	1431640	1431640	1431640	251.2	2.0	1
CNAG_00554_left	1	1431640	1431640	1431640	251.2	2.0	1
CNAG_00554_right	1	1431691	1431728	1431691	141.7	-0.344159350944	38
CNAG_00555	1	1433680	1433686	1433686	217.15	0.93944468522	7
CNAG_00560	1	1447268	1447289	1447287	273.4	-0.465491275859	22
CNAG_00573	1	1478310	1478337	1478326	134.92	-0.803082635126	28
CNAG_00582	1	1499676	1499740	1499722	1028.2	-2.42630655607	65
CNAG_00587	1	1509722	1509733	1509726	268.29	-0.512404519891	12
