Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00011	1	40241	40274	40266	177.09	-0.195992323179	34
CNAG_00016	1	53265	53298	53275	194.24	-0.0664525498884	34
CNAG_00024	1	73531	73540	73531	147.76	0.14241096463	10
CNAG_00034	1	101064	101068	101064	201.06	1.11069194232	5
CNAG_00052	1	154275	154286	154281	291.99	-0.376497049298	12
CNAG_00061	1	169286	169293	169286	3807.17	0.643090561313	8
CNAG_00065	1	177327	177370	177327	538.66	-1.73017861535	44
CNAG_00067	1	184028	184088	184058	230.74	-1.97325029181	61
CNAG_00091	1	253413	253435	253419	674.38	-0.79715716878	23
CNAG_00092	1	256001	256033	256024	233.26	-0.641188707123	33
CNAG_00109	1	301107	301150	301134	236.58	-0.921249468095	44
CNAG_00116	1	315011	315018	315011	454.42	0.687364075713	8
CNAG_00135	1	367885	367912	367894	520.92	-0.99780735605	28
CNAG_00138	1	374531	374563	374548	155.57	-0.917539419305	33
CNAG_00187	1	506995	507035	507002	337.03	-0.988684538544	41
CNAG_00190	1	512223	512227	512227	207.99	1.41167746221	5
CNAG_00241	1	634709	634756	634725	170.24	-1.13215782466	48
CNAG_00241_left	1	634682	634691	634682	96.86	0.328112833462	10
CNAG_00294	1	757262	757282	757269	269.68	-0.711563002171	21
CNAG_00315	1	809464	809499	809484	1370.06	-1.15206002823	36
CNAG_00346	1	885323	885369	885325	173.42	-0.775808652741	47
CNAG_00355	1	904524	904558	904525	183.82	-1.27167118194	35
CNAG_00409	1	1076543	1076618	1076601	450.2	-2.37794816063	76
CNAG_00424	1	1109262	1109302	1109284	168.79	-1.63055398098	41
CNAG_00453	1	1174882	1174900	1174883	2122.27	-0.519609986323	19
CNAG_00483	1	1242491	1242519	1242497	221.89	-1.38016175131	29
CNAG_00510	1	1302022	1302053	1302036	182.08	-1.38976061245	32
CNAG_00605	1	1554135	1554144	1554135	706.54	-0.350175389518	10
CNAG_00614	1	1578259	1578293	1578275	254.69	-0.923198693271	35
CNAG_00626	1	1607358	1607377	1607358	822.12	0.838544970491	20
CNAG_00633	1	1633824	1633834	1633828	176.12	0.605494011529	11
CNAG_00637	1	1650105	1650122	1650113	209.49	-0.214156154602	18
CNAG_00637_left	1	1650062	1650087	1650069	102.58	-1.00649224631	26
CNAG_00640	1	1656563	1656579	1656572	442.07	-0.190528397969	17
CNAG_00656	1	1707314	1707342	1707335	195.05	-0.437734987039	29
CNAG_00672	1	1746894	1746895	1746894	881.02	1.33188932946	2
CNAG_00694	1	1806897	1806943	1806916	1011.28	-1.3044359717	47
CNAG_00706	1	1848269	1848314	1848281	208.77	-1.55445121528	46
CNAG_00716	1	1866733	1866767	1866754	347.23	-1.74290254593	35
CNAG_00717	1	1868923	1868952	1868934	186.93	0.131369277625	30
CNAG_00747	1	1960219	1960252	1960249	153.55	-0.98307354934	34
CNAG_00779	1	2051997	2052022	2052018	251.22	0.0236636450428	26
CNAG_00785	1	2063483	2063500	2063492	835.53	-0.387802229754	18
CNAG_00806	1	2131665	2131673	2131667	913.46	-0.11802444844	9
CNAG_00809	1	2139494	2139520	2139508	383.8	-0.565544628294	27
CNAG_00834	1	2212825	2212846	2212831	832.51	-0.69902556371	22
CNAG_00914	5	1642084	1642084	1642084	294.51	2.0	1
CNAG_00929	5	1604283	1604305	1604286	206.3	-0.101048185166	23
CNAG_00979	5	1517795	1517811	1517805	456.57	-0.738442884688	17
CNAG_00982	5	1511288	1511293	1511290	154.36	-0.0661655478604	6
CNAG_00984	5	1505654	1505679	1505654	1342.42	-0.644881748395	26
CNAG_00994	5	1486041	1486043	1486043	310.79	0.840536992839	3
CNAG_00995	5	1483207	1483226	1483210	392.97	-0.455846204017	20
CNAG_01031	5	1393055	1393061	1393057	494.76	0.13304321373	7
CNAG_01047	5	1352704	1352728	1352706	233.52	-0.773828484468	25
CNAG_01055	5	1325835	1325837	1325837	231.46	0.890479335334	3
CNAG_01055_left	5	1325835	1325837	1325837	231.46	0.890479335334	3
CNAG_01055_right	5	1325855	1325858	1325855	88.07	1.1428688247	4
CNAG_01136	5	1108286	1108297	1108286	253.88	1.214154761	12
CNAG_01137	5	1104721	1104726	1104721	407.97	0.0540277132146	6
CNAG_01147	5	1079427	1079452	1079441	189.02	-1.19213779918	26
CNAG_01147_left	5	1079427	1079452	1079441	189.02	-1.19213779918	26
CNAG_01147_right	5	1079470	1079488	1079477	54.28	-0.419272865412	19
CNAG_01150	5	1069066	1069079	1069066	931.6	0.792270477772	14
CNAG_01152	5	1066033	1066034	1066033	601.42	1.36977327482	2
CNAG_01181	5	988751	988775	988755	742.32	-0.682141955622	25
CNAG_01185	5	978583	978611	978609	386.72	-0.163606535557	29
CNAG_01202	5	938842	938857	938856	364.01	0.764613464559	16
CNAG_01204	5	934803	934817	934810	161.72	-1.03433379706	15
CNAG_01224	5	884036	884046	884039	1604.78	0.152252497201	11
CNAG_01274	5	728739	728769	728751	275.93	-0.37284803351	31
CNAG_01284	5	691279	691327	691308	1632.96	-1.80220041251	49
CNAG_01300	5	647032	647076	647037	150.59	-1.67841053562	45
CNAG_01307	5	627982	627994	627990	195.72	0.404124120183	13
CNAG_01309	5	623416	623452	623431	423.81	-0.932174315721	37
CNAG_01320	5	601405	601421	601415	247.31	-0.606632929731	17
CNAG_01322	5	598049	598081	598059	310.31	-1.5241109843	33
CNAG_01359	5	505996	506000	505996	152.87	0.943819710647	5
CNAG_01417	5	363648	363652	363648	671.47	0.740963213269	5
CNAG_01428	5	331480	331521	331485	849.61	-1.60964009922	42
CNAG_01437	5	312010	312050	312021	166.23	-1.46023213159	41
CNAG_01439	5	306413	306431	306429	365.86	-0.256039636168	19
CNAG_01455	5	270501	270537	270525	1910.5	-1.28186075083	37
CNAG_01482	11	77294	77321	77301	166.46	-1.13871074822	28
CNAG_01486	11	87697	87711	87704	181.29	0.494651688507	15
CNAG_01492	11	100855	100883	100881	143.45	-1.56794561299	29
CNAG_01557	11	271368	271439	271394	186.69	-1.97437450737	72
CNAG_01558	11	273810	273820	273810	3415.23	0.572813677033	11
CNAG_01585	11	358971	359004	358993	258.17	-0.48391615785	34
CNAG_01587	11	361228	361269	361257	240.19	-1.38226190207	42
CNAG_01594	11	375438	375452	375450	370.33	-0.184006255443	15
CNAG_01596	11	381442	381456	381449	395.4	0.0486379786085	15
CNAG_01657	11	539680	539694	539682	205.29	0.138324297335	15
CNAG_01657_left	11	539642	539657	539642	66.45	-0.0909480847407	16
CNAG_01664	11	555368	555403	555396	200.24	-0.868956162041	36
CNAG_01721	11	706545	706553	706545	340.2	0.576595296585	9
CNAG_01737	11	755622	755633	755622	912.08	-0.240217698229	12
CNAG_01751	11	792339	792358	792357	1341.13	-0.544065870525	20
CNAG_01753	11	795255	795268	795259	1907.54	-0.0810513787678	14
CNAG_01800	11	961373	961379	961377	363.97	0.0992903607884	7
CNAG_01803	11	965144	965165	965151	214.21	-1.04470381401	22
CNAG_01824	11	1010692	1010743	1010734	216.28	-1.62131780385	52
