Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00047	1	141960	141984	141979	335.11	0.309398012512	25
CNAG_00057	1	163199	163202	163202	6050.36	0.913123120986	4
CNAG_00058	1	166171	166216	166185	339.24	-1.40338865114	46
CNAG_00060	1	169030	169051	169041	550.26	0.258586379111	22
CNAG_00064	1	177104	177157	177154	326.96	-0.895436416629	54
CNAG_00075	1	209261	209335	209277	467.96	-2.08882469582	75
CNAG_00093	1	259710	259726	259711	2301.17	0.0648263617836	17
CNAG_00115	1	313811	313824	313817	618.18	0.400855170664	14
CNAG_00162	1	441363	441376	441371	2302.02	-0.861195449928	14
CNAG_00232	1	612522	612539	612523	1170.3	0.194404711437	18
CNAG_00266	1	696224	696279	696258	605.25	-1.16443951796	56
CNAG_00307	1	790163	790186	790172	426.42	-0.349647775395	24
CNAG_00317	1	815966	816022	816006	1621.1	-1.81893269154	57
CNAG_00370	1	943182	943210	943191	536.71	-0.808703700195	29
CNAG_00436	1	1137011	1137035	1137027	586.75	-0.665084811826	25
CNAG_00465	1	1208937	1208944	1208943	2237.05	0.157177980344	8
CNAG_00485	1	1248881	1248897	1248893	960.0	-0.59279339766	17
CNAG_00531	1	1358612	1358620	1358620	334.67	0.834699989361	9
CNAG_00534	1	1365078	1365092	1365081	744.96	0.299075074575	15
CNAG_00536	1	1367568	1367597	1367580	446.46	-0.854886337398	30
CNAG_00539	1	1374440	1374452	1374449	355.58	-0.476263613046	13
CNAG_00555	1	1433680	1433686	1433686	1123.96	0.880771953405	7
CNAG_00560	1	1447268	1447289	1447287	1580.42	-0.213442270524	22
CNAG_00573	1	1478281	1478342	1478326	376.06	-1.13402164519	62
CNAG_00582	1	1499676	1499740	1499722	2799.44	-2.22195347755	65
CNAG_00641	1	1662345	1662391	1662361	2194.32	-1.41316917922	47
CNAG_00655	1	1707079	1707088	1707088	425.94	-0.391727434362	10
CNAG_00668	1	1739501	1739544	1739536	541.22	-0.559124189859	44
CNAG_00675	1	1755774	1755797	1755791	400.62	-0.707428093285	24
CNAG_00686	1	1787743	1787755	1787752	1650.07	0.233984487281	13
CNAG_00703	1	1840779	1840780	1840780	4818.41	1.60531700151	2
CNAG_00712	1	1862099	1862107	1862100	502.72	1.25219306427	9
CNAG_00715	1	1866478	1866503	1866492	402.23	-0.899652944259	26
CNAG_00727	1	1895017	1895042	1895039	365.92	-0.490634730364	26
CNAG_00761	1	2001164	2001189	2001166	4032.07	-0.873356494616	26
CNAG_00771	1	2027450	2027457	2027457	3012.81	0.410958543318	8
CNAG_00783	1	2061690	2061736	2061703	4275.38	-1.73444748056	47
CNAG_00816	1	2164890	2164939	2164937	643.08	-2.04733752705	50
CNAG_00819	1	2171827	2171836	2171834	5230.9	0.397600437343	10
CNAG_00821	1	2174654	2174685	2174677	1140.11	-0.565609130955	32
CNAG_00846	1	2241451	2241462	2241455	976.14	0.319797822464	12
CNAG_00866	5	1789773	1789781	1789781	927.99	0.366492369747	9
CNAG_00866_left	5	1789773	1789781	1789781	927.99	0.366492369747	9
CNAG_00866_right	5	1789817	1789823	1789823	243.23	0.863540363644	7
CNAG_00884	5	1732794	1732839	1732822	614.54	-1.12460081944	46
CNAG_00894	5	1705865	1705872	1705868	2403.92	-0.198900043379	8
CNAG_00961	5	1554991	1555003	1555003	561.09	-0.150337829834	13
CNAG_00992	5	1490668	1490702	1490702	390.72	-0.898956725881	35
CNAG_00992_left	5	1490635	1490648	1490639	364.59	-0.228437902681	14
CNAG_01010	5	1442705	1442732	1442726	1425.27	0.33611114889	28
CNAG_01014	5	1435785	1435811	1435808	399.11	-0.0497362598024	27
CNAG_01027	5	1401700	1401714	1401706	757.09	-0.0363167613091	15
CNAG_01052	5	1337367	1337375	1337369	5900.59	0.473047539207	9
CNAG_01082	5	1254545	1254589	1254586	329.97	-0.643542086026	45
CNAG_01104	5	1203067	1203103	1203096	728.04	-0.974458509201	37
CNAG_01117	5	1166913	1166916	1166915	1679.29	0.645057258197	4
CNAG_01117_left	5	1166890	1166893	1166893	1539.03	0.903089575643	4
CNAG_01153	5	1065826	1065833	1065833	2853.14	0.85786027607	8
CNAG_01159	5	1049089	1049119	1049117	406.0	-0.164647316065	31
CNAG_01170	5	1017269	1017300	1017293	895.27	-1.13494786958	32
CNAG_01184	5	982512	982553	982513	413.65	-0.12047583261	42
CNAG_01253	5	795068	795108	795074	530.58	-1.18952480761	41
CNAG_01255	5	792944	792946	792945	665.47	1.27347518938	3
CNAG_01270	5	740176	740220	740220	785.5	-1.5039433785	45
CNAG_01273	5	734147	734207	734168	865.48	-1.00053529192	61
CNAG_01287	5	684844	684875	684850	1113.69	-0.763347945257	32
CNAG_01332	5	581037	581041	581041	1099.33	1.14084446498	5
CNAG_01348	5	536149	536152	536150	5358.84	0.587642336377	4
CNAG_01362	5	497204	497218	497212	3986.2	-0.568314484757	15
CNAG_01464	11	23155	23177	23176	3701.19	-0.814658985266	23
CNAG_01480	11	73908	73915	73915	34240.53	0.0761889426992	8
CNAG_01563	11	294721	294733	294728	355.06	0.0415894000987	13
CNAG_01577	11	340441	340460	340443	833.65	-0.0887810193997	20
CNAG_01583	11	356877	356913	356878	485.88	-0.528927320368	37
CNAG_01586	11	361071	361106	361077	439.85	-0.906184444023	36
CNAG_01593	11	374457	374492	374463	382.63	-0.471103723333	36
CNAG_01603	11	394980	394994	394986	391.68	-0.136381945013	15
CNAG_01632	11	469628	469666	469648	377.05	-0.376498274059	39
CNAG_01648	11	514856	514860	514859	2248.79	0.211119515033	5
CNAG_01655	11	537374	537383	537382	380.81	0.165438719659	10
CNAG_01709	11	677735	677776	677766	385.35	-0.789472627485	42
CNAG_01744	11	772971	773048	773037	1597.43	-1.61607690887	78
CNAG_01750	11	790211	790221	790213	1238.45	0.256130050203	11
CNAG_01761	11	817716	817735	817726	1852.5	-0.518871358502	20
CNAG_01812	11	985711	985738	985715	815.95	0.306473470303	28
CNAG_01874	11	1148155	1148170	1148156	1468.61	0.540846238929	16
CNAG_01885	11	1178877	1178921	1178890	510.54	-1.40805916631	45
CNAG_01896	11	1199022	1199044	1199025	5101.16	-0.594845847138	23
CNAG_01898	11	1204531	1204570	1204555	551.66	-0.788644250087	40
CNAG_01912	11	1250138	1250139	1250139	332.44	1.42716404402	2
CNAG_01912_left	11	1250138	1250139	1250139	332.44	1.42716404402	2
CNAG_01912_right	11	1250169	1250169	1250169	86.6	2.0	1
CNAG_01915	11	1256321	1256338	1256338	1175.64	-0.757231745872	18
CNAG_01924	11	1277360	1277376	1277374	333.5	0.183115669901	17
CNAG_01942	11	1330964	1330983	1330980	928.65	-0.758427127564	20
CNAG_01962	11	1376697	1376725	1376724	459.37	-0.252586746622	29
CNAG_01984	11	1449936	1449978	1449967	2878.53	-1.82943966867	43
CNAG_01990	11	1472371	1472402	1472378	2838.99	-0.125165384507	32
CNAG_02035	6	1369377	1369415	1369395	1079.03	-1.04076866805	39
CNAG_02078	6	1260823	1260833	1260825	17730.78	0.545290632731	11
CNAG_02091	6	1223535	1223558	1223536	475.66	-0.492634094517	24
CNAG_02100	6	1192699	1192727	1192701	1061.14	0.00617367902194	29
CNAG_02116	6	1149334	1149404	1149363	852.67	-1.34233694522	71
CNAG_02128	6	1125477	1125492	1125487	861.67	-0.189909533032	16
CNAG_02129	6	1123225	1123227	1123227	8107.08	1.33732698364	3
CNAG_02130	6	1119642	1119662	1119662	1351.55	0.0277760229566	21
