Id	Chr	start	stop	pos_max	max_weight	SI	Size
CNAG_00016	1	53265	53298	53275	1071.15	-0.604944973929	34
CNAG_00034	1	101064	101068	101064	2888.76	0.999514086262	5
CNAG_00052	1	154275	154291	154276	2938.73	-0.56258868767	17
CNAG_00061	1	169286	169293	169286	37350.2	0.89077571978	8
CNAG_00065	1	177327	177369	177327	2560.29	-1.88524359038	43
CNAG_00067	1	184028	184088	184058	838.43	-2.05273604896	61
CNAG_00116	1	315011	315018	315011	9298.61	0.795742123989	8
CNAG_00135	1	367887	367912	367894	2166.15	-1.22094086468	26
CNAG_00187	1	506995	507035	507002	1173.0	-1.07491425831	41
CNAG_00254	1	665558	665618	665558	1733.8	-2.17610256536	61
CNAG_00261	1	686812	686839	686813	1036.72	-1.11055425137	28
CNAG_00294	1	757262	757284	757269	1107.47	-0.921314029408	23
CNAG_00306	1	787887	787895	787887	992.67	0.0482043167667	9
CNAG_00315	1	809464	809499	809491	4981.43	-1.35189427576	36
CNAG_00355	1	904524	904559	904533	925.26	-1.61970588422	36
CNAG_00409	1	1076515	1076618	1076590	1976.48	-2.90393850924	104
CNAG_00424	1	1109268	1109308	1109284	837.53	-1.76300977559	41
CNAG_00453	1	1174882	1174905	1174883	4204.18	-0.603372296583	24
CNAG_00483	1	1242491	1242514	1242497	1514.09	-1.37031060054	24
CNAG_00605	1	1554135	1554144	1554135	1705.94	-0.418628410376	10
CNAG_00605_left	1	1554068	1554094	1554070	612.55	-0.780757949813	27
CNAG_00614	1	1578259	1578302	1578275	774.03	-1.54021607198	44
CNAG_00637	1	1650105	1650122	1650113	1464.64	-0.260014213422	18
CNAG_00637_left	1	1650062	1650087	1650077	429.13	-1.20990674072	26
CNAG_00640	1	1656563	1656579	1656572	4944.43	-0.384466881312	17
CNAG_00656	1	1707318	1707342	1707335	3091.79	-0.712545335144	25
CNAG_00672	1	1746894	1746895	1746894	12681.7	1.34984282858	2
CNAG_00694	1	1806897	1806943	1806910	5854.37	-1.53288868724	47
CNAG_00716	1	1866732	1866767	1866733	1737.41	-1.66386132846	36
CNAG_00779	1	2051997	2052025	2052018	4022.83	-0.391681748983	29
CNAG_00785	1	2063483	2063500	2063492	3891.01	-0.526256209867	18
CNAG_00806	1	2131660	2131685	2131667	2166.5	-0.671030184189	26
CNAG_00809	1	2139494	2139524	2139508	1000.1	-0.587793175117	31
CNAG_00834	1	2212825	2212846	2212831	5320.21	-1.03189011179	22
CNAG_00984	5	1505654	1505679	1505654	5994.53	-0.875067156219	26
CNAG_00994	5	1486041	1486043	1486043	1127.65	0.880447795941	3
CNAG_00995	5	1483206	1483226	1483208	2165.84	-0.84755679579	21
CNAG_01019	5	1416589	1416652	1416590	863.68	-2.25381132548	64
CNAG_01031	5	1393055	1393061	1393057	3673.12	0.112665166104	7
CNAG_01047	5	1352704	1352728	1352706	939.06	-1.12287437493	25
CNAG_01136	5	1108286	1108297	1108286	867.69	1.03645681379	12
CNAG_01137	5	1104721	1104726	1104721	2769.09	0.191518821678	6
CNAG_01147	5	1079429	1079500	1079441	845.4	-1.87368488575	72
CNAG_01150	5	1069066	1069079	1069066	810.02	0.73860059252	14
CNAG_01152	5	1066033	1066035	1066033	7004.63	1.10183392691	3
CNAG_01181	5	988751	988777	988755	5622.17	-1.20174083235	27
CNAG_01185	5	978583	978611	978609	3022.65	-0.248782197015	29
CNAG_01202	5	938842	938878	938856	839.3	0.256310601871	37
CNAG_01204	5	934803	934813	934810	2683.55	-0.80940446553	11
CNAG_01224	5	884036	884046	884039	17493.49	0.0475683080048	11
CNAG_01274	5	728744	728768	728751	1384.81	-0.0416511601983	25
CNAG_01284	5	691279	691327	691308	8615.12	-1.89303108766	49
CNAG_01300	5	647032	647081	647046	1227.68	-2.12076651118	50
CNAG_01309	5	623416	623459	623431	1520.48	-1.620927984	44
CNAG_01320	5	601405	601421	601415	850.61	-0.757180113349	17
CNAG_01322	5	598049	598083	598056	866.48	-1.94234889045	35
CNAG_01417	5	363648	363652	363648	2786.28	0.85099932652	5
CNAG_01439	5	306413	306433	306429	1974.28	-0.472557071984	21
CNAG_01455	5	270501	270537	270525	19635.28	-1.30383840202	37
CNAG_01486	11	87704	87706	87704	2817.94	1.12276124368	3
CNAG_01558	11	273810	273824	273810	19772.2	-0.148123441222	15
CNAG_01587	11	361250	361265	361257	1743.97	-0.813007616119	16
CNAG_01594	11	375438	375452	375450	1002.62	-0.413944173858	15
CNAG_01596	11	381442	381464	381449	1254.93	-0.609606053317	23
CNAG_01683	11	604116	604122	604116	804.57	-0.0628458022946	7
CNAG_01753	11	795255	795269	795259	17539.78	-0.540542166297	15
CNAG_01800	11	961373	961379	961377	1574.81	0.0618448289702	7
CNAG_01824	11	1010692	1010743	1010734	1159.87	-1.74951412915	52
CNAG_01840	11	1049937	1049939	1049937	6426.42	0.822289979291	3
CNAG_01846	11	1069914	1069946	1069919	1319.06	-1.03365868614	33
CNAG_01861	11	1114471	1114474	1114471	1529.01	0.93804043075	4
CNAG_01881	11	1166381	1166388	1166383	2781.97	0.0351277188572	8
CNAG_01884	11	1174293	1174335	1174311	5556.71	-1.46532307152	43
CNAG_01890	11	1185348	1185349	1185348	7050.79	1.3237437049	2
CNAG_01920	11	1268803	1268811	1268805	4375.53	-0.469117540814	9
CNAG_01951	11	1349213	1349230	1349217	10751.06	-0.410870393622	18
CNAG_01976	11	1421456	1421472	1421471	1894.7	0.951169582629	17
CNAG_01991	11	1473643	1473671	1473650	894.86	-0.940748577007	29
CNAG_02055	6	1318689	1318710	1318697	776.73	0.0547786331407	22
CNAG_02070	6	1280239	1280259	1280254	70050.7	-1.13935709098	21
CNAG_02099	6	1193253	1193273	1193253	879.93	0.0119589518692	21
CNAG_02133	6	1110611	1110644	1110632	1227.42	-1.52091290439	34
CNAG_02144	6	1083993	1084000	1083993	1981.66	0.36486232814	8
CNAG_02182	6	970362	970370	970364	2967.43	-0.0343345675	9
CNAG_02182_left	6	970362	970370	970364	2967.43	-0.0343345675	9
CNAG_02182_right	6	970402	970423	970402	843.7	-1.92240466041	22
CNAG_02200	6	932054	932102	932081	1134.18	-1.7467088568	49
CNAG_02212	6	904224	904239	904235	804.81	-0.363461987977	16
CNAG_02216	6	893279	893394	893299	2500.91	-2.80042157951	116
CNAG_02234	6	835711	835721	835719	19450.9	0.32750255093	11
CNAG_02257	6	772139	772157	772147	1496.46	-0.660726642625	19
CNAG_02260	6	763884	763936	763935	1051.59	-1.93083108188	53
CNAG_02266	6	744592	744620	744599	1804.27	-1.41642374309	29
CNAG_02280	6	712337	712376	712354	2756.46	-1.66373314339	40
CNAG_02330	6	591679	591686	591679	5527.81	0.837490335907	8
CNAG_02359	6	522841	522855	522848	5392.03	0.187397853833	15
CNAG_02362	6	515070	515076	515071	1627.72	0.514611875146	7
CNAG_02434	6	336074	336100	336074	1550.91	-0.634282727688	27
CNAG_02485	6	190041	190090	190056	1037.53	-2.0056009581	50
CNAG_02500	6	149730	149780	149755	816.82	-2.15038731019	51
CNAG_02545	6	37130	37147	37144	4130.91	-0.482338541563	18
CNAG_02545_left	6	37054	37061	37054	2871.9	-0.0708085353056	8
CNAG_02550	6	21203	21242	21229	2006.44	-1.61399036371	40
CNAG_02673	3	1060191	1060210	1060207	6914.57	-1.51576088263	20
CNAG_02720	3	913666	913710	913673	1453.26	-1.32340505602	45
CNAG_02748	3	852098	852117	852098	1105.17	-0.429774613704	20
CNAG_02748_left	3	852080	852080	852080	295.38	2.0	1
CNAG_02761	3	826697	826741	826713	10890.93	-1.98101920321	45
CNAG_02769	3	811286	811358	811309	1664.77	-2.13801600324	73
CNAG_02791	3	758518	758544	758518	1270.8	-0.823813289512	27
CNAG_02843	3	634341	634379	634367	781.23	-1.41310132285	39
CNAG_02864	3	580331	580340	580337	1901.52	-0.395750617221	10
CNAG_02880	3	542696	542730	542709	1652.68	-1.48327033228	35
CNAG_02899	3	500425	500432	500428	1064.27	-0.443523525348	8
CNAG_02901	3	493698	493714	493703	3061.33	-0.535359825161	17
CNAG_02956	3	351725	351776	351754	9676.15	-1.76318890052	52
CNAG_02974	3	303478	303496	303492	2679.81	-0.351308242838	19
CNAG_02991	3	262596	262669	262646	1373.85	-2.33001128507	74
CNAG_02995	3	252380	252417	252404	2259.82	-1.00473670939	38
CNAG_03000	3	237723	237764	237754	2503.77	-1.61143785064	42
CNAG_03002	3	234139	234152	234147	4705.46	-0.702821893641	14
CNAG_03031	3	158255	158276	158272	1059.69	0.0405815319477	22
CNAG_03058	3	98794	98805	98800	10622.38	-0.791073890248	12
CNAG_03114	8	83668	83684	83672	1728.93	-0.089517990549	17
CNAG_03127	8	131768	131786	131768	7104.45	0.395714024229	19
CNAG_03143	8	174225	174231	174228	105475.1	0.0217580826099	7
CNAG_03198	8	318137	318159	318147	6591.96	-1.27586183138	23
CNAG_03282	8	561400	561449	561442	883.97	-2.05086164341	50
CNAG_03283	8	563384	563396	563387	74888.5	-0.51892846615	13
CNAG_03289	8	573457	573468	573462	4480.5	-0.17377272348	12
CNAG_03303	8	606028	606041	606033	17416.47	-0.299898254775	14
CNAG_03316	8	633445	633462	633452	1003.45	-0.955536996318	18
CNAG_03323	8	648424	648482	648475	1252.52	-1.69513832541	59
CNAG_03359	8	744193	744227	744199	1234.49	-1.74750332859	35
CNAG_03373	8	788267	788330	788305	3248.99	-2.32117279866	64
CNAG_03375	8	789920	789931	789927	1493.21	0.598626286872	12
CNAG_03385	8	813557	813561	813557	1078.35	1.1808200349	5
CNAG_03408	8	879606	879627	879614	1446.33	-0.802443303456	22
CNAG_03419	8	903269	903291	903273	1181.59	-0.320083233404	23
CNAG_03495	8	1106070	1106094	1106080	1400.76	-0.929983089374	25
CNAG_03544	8	1242264	1242296	1242277	2777.71	-1.55600616677	33
